                          Options
                          seed: 1122
                          batch_size: 128
                          no_cuda: False
                          max_frames: 20000000
                          buffer_size: 100000
                          update_target: 1000
                          train_freq: 1
                          gamma: 0.99
                          eta: 0.1
                          rl_start: 10000
                          sl_start: 1000
                          num_envs: 5
                          hidden_dim: 256
                          dueling: False
                          multi_step: 1
                          env: SlimeVolley-v0
                          ram: False
                          negative: False
                          against_baseline: True
                          load_model: None
                          save_model: model
                          evaluate: False
                          render: False
                          evaluation_interval: 10000
                          lr: 0.0001
                          max_tag_interval: 1000
                          eps_start: 1.0
                          eps_final: 0.01
                          eps_decay: 30000
                          cuda: True
                          device: cuda:0
[Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32), Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32), Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32), Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32), Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32)] [Discrete(6), Discrete(6), Discrete(6), Discrete(6), Discrete(6)]
Frame: 50000, Avg. Reward: -5.585, Avg. RL Loss: 0.004, Avg. Length: 746.3
Frame: 100000, Avg. Reward: -5.908, Avg. RL Loss: 0.004, Avg. Length: 768.0
Frame: 150000, Avg. Reward: -5.743, Avg. RL Loss: 0.004, Avg. Length: 722.7
Frame: 200000, Avg. Reward: -5.771, Avg. RL Loss: 0.004, Avg. Length: 713.1
Frame: 250000, Avg. Reward: -5.557, Avg. RL Loss: 0.004, Avg. Length: 691.5
Frame: 300000, Avg. Reward: -5.629, Avg. RL Loss: 0.004, Avg. Length: 710.6
Frame: 350000, Avg. Reward: -5.877, Avg. RL Loss: 0.004, Avg. Length: 770.5
Frame: 400000, Avg. Reward: -6.092, Avg. RL Loss: 0.004, Avg. Length: 768.2
Frame: 450000, Avg. Reward: -5.723, Avg. RL Loss: 0.004, Avg. Length: 764.5
Frame: 500000, Avg. Reward: -5.800, Avg. RL Loss: 0.004, Avg. Length: 713.9
Frame: 550000, Avg. Reward: -5.686, Avg. RL Loss: 0.004, Avg. Length: 683.2
Frame: 600000, Avg. Reward: -5.529, Avg. RL Loss: 0.004, Avg. Length: 691.0
Frame: 650000, Avg. Reward: -5.714, Avg. RL Loss: 0.004, Avg. Length: 733.9
Frame: 700000, Avg. Reward: -5.743, Avg. RL Loss: 0.004, Avg. Length: 716.6
Frame: 750000, Avg. Reward: -5.700, Avg. RL Loss: 0.004, Avg. Length: 736.6
Frame: 800000, Avg. Reward: -5.708, Avg. RL Loss: 0.004, Avg. Length: 705.0
Frame: 850000, Avg. Reward: -5.729, Avg. RL Loss: 0.004, Avg. Length: 726.6
Frame: 900000, Avg. Reward: -6.062, Avg. RL Loss: 0.004, Avg. Length: 758.9
Frame: 950000, Avg. Reward: -6.100, Avg. RL Loss: 0.004, Avg. Length: 822.4
Frame: 1000000, Avg. Reward: -5.786, Avg. RL Loss: 0.004, Avg. Length: 758.8
Frame: 1050000, Avg. Reward: -5.692, Avg. RL Loss: 0.004, Avg. Length: 726.8
Frame: 1100000, Avg. Reward: -5.831, Avg. RL Loss: 0.004, Avg. Length: 742.5
Frame: 1150000, Avg. Reward: -5.671, Avg. RL Loss: 0.004, Avg. Length: 722.0
Frame: 1200000, Avg. Reward: -5.529, Avg. RL Loss: 0.004, Avg. Length: 714.5
Frame: 1250000, Avg. Reward: -5.754, Avg. RL Loss: 0.004, Avg. Length: 725.0
Frame: 1300000, Avg. Reward: -5.846, Avg. RL Loss: 0.004, Avg. Length: 786.9
Frame: 1350000, Avg. Reward: -5.714, Avg. RL Loss: 0.004, Avg. Length: 690.5
Frame: 1400000, Avg. Reward: -5.815, Avg. RL Loss: 0.004, Avg. Length: 762.5
Frame: 1450000, Avg. Reward: -5.643, Avg. RL Loss: 0.004, Avg. Length: 691.1
Frame: 1500000, Avg. Reward: -5.653, Avg. RL Loss: 0.004, Avg. Length: 710.1
Frame: 1550000, Avg. Reward: -5.831, Avg. RL Loss: 0.004, Avg. Length: 747.3
Frame: 1600000, Avg. Reward: -5.785, Avg. RL Loss: 0.004, Avg. Length: 741.8
Frame: 1650000, Avg. Reward: -5.443, Avg. RL Loss: 0.004, Avg. Length: 699.6
Frame: 1700000, Avg. Reward: -5.700, Avg. RL Loss: 0.004, Avg. Length: 731.4
Frame: 1750000, Avg. Reward: -5.800, Avg. RL Loss: 0.004, Avg. Length: 740.5
Frame: 1800000, Avg. Reward: -5.877, Avg. RL Loss: 0.004, Avg. Length: 741.7
Frame: 1850000, Avg. Reward: -5.643, Avg. RL Loss: 0.004, Avg. Length: 701.0
Frame: 1900000, Avg. Reward: -5.720, Avg. RL Loss: 0.004, Avg. Length: 700.9
Frame: 1950000, Avg. Reward: -5.833, Avg. RL Loss: 0.004, Avg. Length: 791.3
Frame: 2000000, Avg. Reward: -5.729, Avg. RL Loss: 0.004, Avg. Length: 730.9
Frame: 2050000, Avg. Reward: -5.677, Avg. RL Loss: 0.004, Avg. Length: 757.0
Frame: 2100000, Avg. Reward: -5.600, Avg. RL Loss: 0.004, Avg. Length: 709.6
Frame: 2150000, Avg. Reward: -5.877, Avg. RL Loss: 0.004, Avg. Length: 722.5
Frame: 2200000, Avg. Reward: -5.729, Avg. RL Loss: 0.004, Avg. Length: 707.9
Frame: 2250000, Avg. Reward: -5.573, Avg. RL Loss: 0.004, Avg. Length: 685.2
Frame: 2300000, Avg. Reward: -5.613, Avg. RL Loss: 0.004, Avg. Length: 676.3
Frame: 2350000, Avg. Reward: -5.814, Avg. RL Loss: 0.004, Avg. Length: 696.5
Frame: 2400000, Avg. Reward: -5.786, Avg. RL Loss: 0.004, Avg. Length: 722.6
Frame: 2450000, Avg. Reward: -5.857, Avg. RL Loss: 0.004, Avg. Length: 713.9
Frame: 2500000, Avg. Reward: -5.480, Avg. RL Loss: 0.004, Avg. Length: 673.9
Frame: 2550000, Avg. Reward: -5.507, Avg. RL Loss: 0.004, Avg. Length: 691.5
Frame: 2600000, Avg. Reward: -5.800, Avg. RL Loss: 0.004, Avg. Length: 734.2
Frame: 2650000, Avg. Reward: -6.031, Avg. RL Loss: 0.004, Avg. Length: 783.8
Frame: 2700000, Avg. Reward: -5.657, Avg. RL Loss: 0.004, Avg. Length: 703.0
Frame: 2750000, Avg. Reward: -5.667, Avg. RL Loss: 0.004, Avg. Length: 688.7
Frame: 2800000, Avg. Reward: -5.643, Avg. RL Loss: 0.004, Avg. Length: 690.7
Frame: 2850000, Avg. Reward: -5.757, Avg. RL Loss: 0.004, Avg. Length: 725.7
Frame: 2900000, Avg. Reward: -5.646, Avg. RL Loss: 0.004, Avg. Length: 719.8
Frame: 2950000, Avg. Reward: -5.723, Avg. RL Loss: 0.004, Avg. Length: 763.6
Frame: 3000000, Avg. Reward: -5.723, Avg. RL Loss: 0.004, Avg. Length: 752.2
Frame: 3050000, Avg. Reward: -5.900, Avg. RL Loss: 0.004, Avg. Length: 719.2
Frame: 3100000, Avg. Reward: -5.800, Avg. RL Loss: 0.004, Avg. Length: 697.5
Frame: 3150000, Avg. Reward: -5.729, Avg. RL Loss: 0.004, Avg. Length: 702.0
Frame: 3200000, Avg. Reward: -5.388, Avg. RL Loss: 0.004, Avg. Length: 668.4
