                          Options
                          seed: 1122
                          batch_size: 32
                          no_cuda: False
                          max_frames: 30000000
                          buffer_size: 100000
                          update_target: 1000
                          train_freq: 1
                          gamma: 0.99
                          eta: 0.1
                          rl_start: 10000
                          sl_start: 1000
                          hidden_dim: 512
                          dueling: False
                          multi_step: 1
                          env: SlimeVolleyNoFrameskip-v0
                          negative: False
                          load_model: None
                          save_model: model
                          evaluate: False
                          render: False
                          evaluation_interval: 10000
                          lr: 0.0001
                          max_tag_interval: 1000
                          eps_start: 1.0
                          eps_final: 0.01
                          eps_decay: 30000
                          cuda: True
                          device: cuda:0
Box(0, 1, (4, 84, 84), uint8) Discrete(6)
Frame: 600000, Avg. Reward: -4.731, Avg. RL Loss: 0.003, Avg. Length: 191.7
Frame: 610000, Avg. Reward: -4.800, Avg. RL Loss: 0.003, Avg. Length: 183.3
Frame: 620000, Avg. Reward: -4.774, Avg. RL Loss: 0.003, Avg. Length: 186.2
Frame: 630000, Avg. Reward: -4.778, Avg. RL Loss: 0.004, Avg. Length: 187.8
Frame: 640000, Avg. Reward: -4.852, Avg. RL Loss: 0.004, Avg. Length: 185.0
Frame: 650000, Avg. Reward: -4.833, Avg. RL Loss: 0.003, Avg. Length: 186.0
Frame: 660000, Avg. Reward: -4.804, Avg. RL Loss: 0.003, Avg. Length: 176.0
Frame: 670000, Avg. Reward: -4.825, Avg. RL Loss: 0.003, Avg. Length: 176.2
Frame: 680000, Avg. Reward: -4.983, Avg. RL Loss: 0.003, Avg. Length: 171.7
Frame: 690000, Avg. Reward: -4.855, Avg. RL Loss: 0.003, Avg. Length: 181.9
Frame: 700000, Avg. Reward: -4.833, Avg. RL Loss: 0.003, Avg. Length: 186.6
Frame: 710000, Avg. Reward: -4.815, Avg. RL Loss: 0.003, Avg. Length: 182.5
Frame: 720000, Avg. Reward: -4.786, Avg. RL Loss: 0.003, Avg. Length: 180.5
Frame: 730000, Avg. Reward: -4.745, Avg. RL Loss: 0.003, Avg. Length: 195.8
Frame: 740000, Avg. Reward: -4.818, Avg. RL Loss: 0.003, Avg. Length: 182.9
Frame: 750000, Avg. Reward: -4.673, Avg. RL Loss: 0.003, Avg. Length: 192.2
Frame: 760000, Avg. Reward: -4.745, Avg. RL Loss: 0.003, Avg. Length: 194.3
