                          Options
                          seed: 1122
                          batch_size: 256
                          no_cuda: False
                          max_frames: 1000000000
                          buffer_size: 100000
                          update_target: 1000
                          train_freq: 100
                          gamma: 0.99
                          eta: 0.1
                          rl_start: 10000
                          sl_start: 1000
                          num_envs: 1
                          hidden_dim: 256
                          dueling: False
                          multi_step: 1
                          env: SlimeVolley-v0
                          ram: False
                          negative: False
                          against_baseline: True
                          load_model: None
                          save_model: model
                          evaluate: False
                          render: False
                          evaluation_interval: 10000
                          lr: 0.0001
                          max_tag_interval: 3000
                          eps_start: 1.0
                          eps_final: 0.01
                          eps_decay: 30000
                          cuda: True
                          device: cuda:0
Load SlimeVolley env: SlimeVolley-v0
Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32) Discrete(6)
Frame: 590000, Avg. Reward: -4.938, Avg. RL Loss: 0.006, Avg. Length: 617.6
Frame: 600000, Avg. Reward: -4.875, Avg. RL Loss: 0.006, Avg. Length: 635.4
Frame: 610000, Avg. Reward: -4.824, Avg. RL Loss: 0.007, Avg. Length: 582.9
Frame: 620000, Avg. Reward: -4.733, Avg. RL Loss: 0.008, Avg. Length: 660.5
Frame: 630000, Avg. Reward: -4.882, Avg. RL Loss: 0.008, Avg. Length: 589.1
Frame: 640000, Avg. Reward: -5.000, Avg. RL Loss: 0.008, Avg. Length: 584.3
Frame: 650000, Avg. Reward: -4.941, Avg. RL Loss: 0.008, Avg. Length: 582.6
Frame: 660000, Avg. Reward: -4.733, Avg. RL Loss: 0.007, Avg. Length: 692.6
Frame: 670000, Avg. Reward: -4.938, Avg. RL Loss: 0.007, Avg. Length: 613.8
Frame: 680000, Avg. Reward: -4.750, Avg. RL Loss: 0.008, Avg. Length: 624.4
Frame: 690000, Avg. Reward: -4.800, Avg. RL Loss: 0.008, Avg. Length: 670.5
Frame: 700000, Avg. Reward: -4.800, Avg. RL Loss: 0.007, Avg. Length: 647.9
Frame: 710000, Avg. Reward: -4.812, Avg. RL Loss: 0.007, Avg. Length: 634.2
Frame: 720000, Avg. Reward: -4.643, Avg. RL Loss: 0.007, Avg. Length: 711.6
Frame: 730000, Avg. Reward: -4.562, Avg. RL Loss: 0.007, Avg. Length: 646.0
Frame: 740000, Avg. Reward: -4.800, Avg. RL Loss: 0.007, Avg. Length: 658.3
Frame: 750000, Avg. Reward: -4.938, Avg. RL Loss: 0.007, Avg. Length: 623.7
Frame: 760000, Avg. Reward: -5.000, Avg. RL Loss: 0.007, Avg. Length: 593.3
Frame: 770000, Avg. Reward: -4.733, Avg. RL Loss: 0.007, Avg. Length: 673.2
Frame: 780000, Avg. Reward: -4.938, Avg. RL Loss: 0.007, Avg. Length: 607.4
Frame: 790000, Avg. Reward: -4.938, Avg. RL Loss: 0.006, Avg. Length: 628.9
Frame: 800000, Avg. Reward: -4.867, Avg. RL Loss: 0.007, Avg. Length: 658.8
Frame: 810000, Avg. Reward: -4.938, Avg. RL Loss: 0.008, Avg. Length: 631.7
Frame: 820000, Avg. Reward: -4.533, Avg. RL Loss: 0.008, Avg. Length: 649.9
Frame: 830000, Avg. Reward: -4.750, Avg. RL Loss: 0.007, Avg. Length: 633.7
Frame: 840000, Avg. Reward: -4.875, Avg. RL Loss: 0.007, Avg. Length: 645.7
Frame: 850000, Avg. Reward: -4.643, Avg. RL Loss: 0.006, Avg. Length: 669.5
Frame: 860000, Avg. Reward: -4.812, Avg. RL Loss: 0.006, Avg. Length: 643.6
Frame: 870000, Avg. Reward: -4.786, Avg. RL Loss: 0.007, Avg. Length: 715.0
Frame: 880000, Avg. Reward: -4.882, Avg. RL Loss: 0.006, Avg. Length: 589.5
Frame: 890000, Avg. Reward: -4.667, Avg. RL Loss: 0.007, Avg. Length: 665.0
Frame: 900000, Avg. Reward: -4.733, Avg. RL Loss: 0.007, Avg. Length: 661.5
Frame: 910000, Avg. Reward: -4.800, Avg. RL Loss: 0.007, Avg. Length: 680.8
Frame: 920000, Avg. Reward: -4.875, Avg. RL Loss: 0.007, Avg. Length: 612.8
Frame: 930000, Avg. Reward: -4.812, Avg. RL Loss: 0.006, Avg. Length: 633.6
Frame: 940000, Avg. Reward: -4.941, Avg. RL Loss: 0.006, Avg. Length: 593.2
Frame: 950000, Avg. Reward: -4.938, Avg. RL Loss: 0.006, Avg. Length: 622.7
Frame: 960000, Avg. Reward: -4.941, Avg. RL Loss: 0.007, Avg. Length: 598.4
Frame: 970000, Avg. Reward: -4.733, Avg. RL Loss: 0.007, Avg. Length: 668.7
Frame: 980000, Avg. Reward: -4.846, Avg. RL Loss: 0.006, Avg. Length: 708.4
Frame: 990000, Avg. Reward: -4.812, Avg. RL Loss: 0.006, Avg. Length: 654.8
Frame: 1000000, Avg. Reward: -4.571, Avg. RL Loss: 0.006, Avg. Length: 689.6
Frame: 1010000, Avg. Reward: -4.600, Avg. RL Loss: 0.006, Avg. Length: 709.5
Frame: 1020000, Avg. Reward: -4.938, Avg. RL Loss: 0.006, Avg. Length: 601.2
Frame: 1030000, Avg. Reward: -4.778, Avg. RL Loss: 0.007, Avg. Length: 572.8
Frame: 1040000, Avg. Reward: -4.867, Avg. RL Loss: 0.007, Avg. Length: 669.7
Frame: 1050000, Avg. Reward: -4.800, Avg. RL Loss: 0.006, Avg. Length: 662.7
Frame: 1060000, Avg. Reward: -4.733, Avg. RL Loss: 0.007, Avg. Length: 627.5
Frame: 1070000, Avg. Reward: -4.875, Avg. RL Loss: 0.007, Avg. Length: 654.0
Frame: 1080000, Avg. Reward: -4.933, Avg. RL Loss: 0.006, Avg. Length: 659.7
Frame: 1090000, Avg. Reward: -4.733, Avg. RL Loss: 0.006, Avg. Length: 656.3
Frame: 1100000, Avg. Reward: -4.923, Avg. RL Loss: 0.006, Avg. Length: 749.5
Frame: 1110000, Avg. Reward: -4.812, Avg. RL Loss: 0.006, Avg. Length: 672.1
Frame: 1120000, Avg. Reward: -4.643, Avg. RL Loss: 0.006, Avg. Length: 708.9
Frame: 1130000, Avg. Reward: -4.643, Avg. RL Loss: 0.006, Avg. Length: 712.4
Frame: 1140000, Avg. Reward: -4.867, Avg. RL Loss: 0.007, Avg. Length: 626.1
Frame: 1150000, Avg. Reward: -4.941, Avg. RL Loss: 0.007, Avg. Length: 586.8
Frame: 1160000, Avg. Reward: -4.941, Avg. RL Loss: 0.006, Avg. Length: 632.4
Frame: 1170000, Avg. Reward: -4.857, Avg. RL Loss: 0.007, Avg. Length: 684.6
Frame: 1180000, Avg. Reward: -4.812, Avg. RL Loss: 0.006, Avg. Length: 644.3
Frame: 1190000, Avg. Reward: -4.800, Avg. RL Loss: 0.006, Avg. Length: 639.6
Frame: 1200000, Avg. Reward: -4.800, Avg. RL Loss: 0.006, Avg. Length: 678.9
Frame: 1210000, Avg. Reward: -4.857, Avg. RL Loss: 0.006, Avg. Length: 734.8
Frame: 1220000, Avg. Reward: -4.857, Avg. RL Loss: 0.007, Avg. Length: 661.8
Frame: 1230000, Avg. Reward: -4.824, Avg. RL Loss: 0.007, Avg. Length: 618.4
Frame: 1240000, Avg. Reward: -4.800, Avg. RL Loss: 0.007, Avg. Length: 633.5
Frame: 1250000, Avg. Reward: -4.938, Avg. RL Loss: 0.007, Avg. Length: 639.2
Frame: 1260000, Avg. Reward: -4.812, Avg. RL Loss: 0.007, Avg. Length: 634.1
Frame: 1270000, Avg. Reward: -4.875, Avg. RL Loss: 0.006, Avg. Length: 618.1
Frame: 1280000, Avg. Reward: -4.867, Avg. RL Loss: 0.006, Avg. Length: 695.8
Frame: 1290000, Avg. Reward: -4.800, Avg. RL Loss: 0.006, Avg. Length: 658.1
Frame: 1300000, Avg. Reward: -4.800, Avg. RL Loss: 0.006, Avg. Length: 656.8
Frame: 1310000, Avg. Reward: -4.938, Avg. RL Loss: 0.006, Avg. Length: 642.4
Frame: 1320000, Avg. Reward: -4.929, Avg. RL Loss: 0.006, Avg. Length: 714.6
Frame: 1330000, Avg. Reward: -4.933, Avg. RL Loss: 0.007, Avg. Length: 650.6
Frame: 1340000, Avg. Reward: -5.000, Avg. RL Loss: 0.007, Avg. Length: 603.1
Frame: 1350000, Avg. Reward: -4.875, Avg. RL Loss: 0.007, Avg. Length: 615.0
Frame: 1360000, Avg. Reward: -4.933, Avg. RL Loss: 0.006, Avg. Length: 669.3
Frame: 1370000, Avg. Reward: -4.643, Avg. RL Loss: 0.006, Avg. Length: 694.6
Frame: 1380000, Avg. Reward: -4.786, Avg. RL Loss: 0.006, Avg. Length: 715.6
Frame: 1390000, Avg. Reward: -5.000, Avg. RL Loss: 0.007, Avg. Length: 699.1
Frame: 1400000, Avg. Reward: -4.786, Avg. RL Loss: 0.007, Avg. Length: 717.9
Frame: 1410000, Avg. Reward: -4.750, Avg. RL Loss: 0.008, Avg. Length: 638.9
Frame: 1420000, Avg. Reward: -4.571, Avg. RL Loss: 0.008, Avg. Length: 716.0
Frame: 1430000, Avg. Reward: -4.786, Avg. RL Loss: 0.007, Avg. Length: 704.6
Frame: 1440000, Avg. Reward: -4.733, Avg. RL Loss: 0.006, Avg. Length: 643.3
Frame: 1450000, Avg. Reward: -4.875, Avg. RL Loss: 0.006, Avg. Length: 646.3
Frame: 1460000, Avg. Reward: -4.867, Avg. RL Loss: 0.006, Avg. Length: 685.0
Frame: 1470000, Avg. Reward: -4.786, Avg. RL Loss: 0.006, Avg. Length: 714.0
Frame: 1480000, Avg. Reward: -4.714, Avg. RL Loss: 0.006, Avg. Length: 674.4
Frame: 1490000, Avg. Reward: -4.800, Avg. RL Loss: 0.006, Avg. Length: 698.1
Frame: 1500000, Avg. Reward: -4.867, Avg. RL Loss: 0.006, Avg. Length: 669.8
Frame: 1510000, Avg. Reward: -4.857, Avg. RL Loss: 0.005, Avg. Length: 697.7
Frame: 1520000, Avg. Reward: -4.867, Avg. RL Loss: 0.007, Avg. Length: 676.5
Frame: 1530000, Avg. Reward: -4.800, Avg. RL Loss: 0.007, Avg. Length: 664.0
Frame: 1540000, Avg. Reward: -4.714, Avg. RL Loss: 0.007, Avg. Length: 721.7
Frame: 1550000, Avg. Reward: -4.938, Avg. RL Loss: 0.006, Avg. Length: 623.4
Frame: 1560000, Avg. Reward: -4.867, Avg. RL Loss: 0.007, Avg. Length: 669.3
Frame: 1570000, Avg. Reward: -4.923, Avg. RL Loss: 0.006, Avg. Length: 746.8
Frame: 1580000, Avg. Reward: -4.933, Avg. RL Loss: 0.007, Avg. Length: 664.9
Frame: 1590000, Avg. Reward: -4.812, Avg. RL Loss: 0.006, Avg. Length: 618.9
Frame: 1600000, Avg. Reward: -4.867, Avg. RL Loss: 0.006, Avg. Length: 689.3
Frame: 1610000, Avg. Reward: -4.643, Avg. RL Loss: 0.006, Avg. Length: 693.7
Frame: 1620000, Avg. Reward: -4.875, Avg. RL Loss: 0.006, Avg. Length: 635.2
Frame: 1630000, Avg. Reward: -4.667, Avg. RL Loss: 0.007, Avg. Length: 662.5
Frame: 1640000, Avg. Reward: -4.625, Avg. RL Loss: 0.006, Avg. Length: 653.2
Frame: 1650000, Avg. Reward: -4.857, Avg. RL Loss: 0.006, Avg. Length: 692.9
Frame: 1660000, Avg. Reward: -4.538, Avg. RL Loss: 0.006, Avg. Length: 745.2
Frame: 1670000, Avg. Reward: -4.875, Avg. RL Loss: 0.006, Avg. Length: 654.6
Frame: 1680000, Avg. Reward: -4.600, Avg. RL Loss: 0.007, Avg. Length: 668.2
Frame: 1690000, Avg. Reward: -5.000, Avg. RL Loss: 0.006, Avg. Length: 633.3
Frame: 1700000, Avg. Reward: -4.786, Avg. RL Loss: 0.007, Avg. Length: 744.4
Frame: 1710000, Avg. Reward: -4.769, Avg. RL Loss: 0.006, Avg. Length: 755.6
Frame: 1720000, Avg. Reward: -4.800, Avg. RL Loss: 0.006, Avg. Length: 659.9
Frame: 1730000, Avg. Reward: -4.933, Avg. RL Loss: 0.007, Avg. Length: 674.5
Frame: 1740000, Avg. Reward: -4.875, Avg. RL Loss: 0.006, Avg. Length: 649.7
Frame: 1750000, Avg. Reward: -4.733, Avg. RL Loss: 0.007, Avg. Length: 634.0
Frame: 1760000, Avg. Reward: -4.714, Avg. RL Loss: 0.007, Avg. Length: 735.3
Frame: 1770000, Avg. Reward: -4.800, Avg. RL Loss: 0.007, Avg. Length: 641.3
Frame: 1780000, Avg. Reward: -4.733, Avg. RL Loss: 0.007, Avg. Length: 703.9
Frame: 1790000, Avg. Reward: -4.846, Avg. RL Loss: 0.007, Avg. Length: 716.1
Frame: 1800000, Avg. Reward: -4.571, Avg. RL Loss: 0.006, Avg. Length: 754.9
Frame: 1810000, Avg. Reward: -4.800, Avg. RL Loss: 0.006, Avg. Length: 637.5
Frame: 1820000, Avg. Reward: -5.000, Avg. RL Loss: 0.007, Avg. Length: 601.9
Frame: 1830000, Avg. Reward: -4.846, Avg. RL Loss: 0.007, Avg. Length: 745.0
Frame: 1840000, Avg. Reward: -4.800, Avg. RL Loss: 0.008, Avg. Length: 675.1
Frame: 1850000, Avg. Reward: -5.000, Avg. RL Loss: 0.007, Avg. Length: 682.3
Frame: 1860000, Avg. Reward: -4.714, Avg. RL Loss: 0.007, Avg. Length: 729.1
Frame: 1870000, Avg. Reward: -4.857, Avg. RL Loss: 0.006, Avg. Length: 719.4
Frame: 1880000, Avg. Reward: -4.812, Avg. RL Loss: 0.006, Avg. Length: 597.8
Frame: 1890000, Avg. Reward: -4.867, Avg. RL Loss: 0.006, Avg. Length: 679.0
Frame: 1900000, Avg. Reward: -4.867, Avg. RL Loss: 0.006, Avg. Length: 678.1
Frame: 1910000, Avg. Reward: -4.583, Avg. RL Loss: 0.006, Avg. Length: 789.0
Frame: 1920000, Avg. Reward: -4.643, Avg. RL Loss: 0.007, Avg. Length: 719.6
Frame: 1930000, Avg. Reward: -4.867, Avg. RL Loss: 0.006, Avg. Length: 680.5
