                          Options
                          seed: 1122
                          batch_size: 1024
                          no_cuda: False
                          max_frames: 500000000
                          buffer_size: 1000000
                          update_target: 1000
                          train_freq: 100
                          gamma: 0.99
                          eta: 0.1
                          rl_start: 10000
                          sl_start: 1000
                          num_envs: 10
                          hidden_dim: 512
                          dueling: False
                          multi_step: 1
                          env: SlimeVolley-v0
                          ram: False
                          negative: False
                          against_baseline: True
                          load_model: None
                          save_model: model
                          evaluate: False
                          render: False
                          evaluation_interval: 10000
                          lr: 0.0001
                          max_tag_interval: 3000
                          eps_start: 1.0
                          eps_final: 0.01
                          eps_decay: 10000000
                          cuda: True
                          device: cuda:0
[Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32), Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32), Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32), Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32), Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32), Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32), Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32), Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32), Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32), Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32)] [Discrete(6), Discrete(6), Discrete(6), Discrete(6), Discrete(6), Discrete(6), Discrete(6), Discrete(6), Discrete(6), Discrete(6)]
(12,)
(12,)
Frame: 100000, Avg. Reward: -5.908, Avg. RL Loss: 0.004, Avg. Length: 760.2
Frame: 200000, Avg. Reward: -6.215, Avg. RL Loss: 0.004, Avg. Length: 806.1
Frame: 300000, Avg. Reward: -6.400, Avg. RL Loss: 0.005, Avg. Length: 825.2
Frame: 400000, Avg. Reward: -6.215, Avg. RL Loss: 0.005, Avg. Length: 785.1
Frame: 500000, Avg. Reward: -6.483, Avg. RL Loss: 0.005, Avg. Length: 844.9
Frame: 600000, Avg. Reward: -6.125, Avg. RL Loss: 0.006, Avg. Length: 780.5
Frame: 700000, Avg. Reward: -6.592, Avg. RL Loss: 0.006, Avg. Length: 856.8
Frame: 800000, Avg. Reward: -6.367, Avg. RL Loss: 0.006, Avg. Length: 811.8
Frame: 900000, Avg. Reward: -6.375, Avg. RL Loss: 0.006, Avg. Length: 829.0
Frame: 1000000, Avg. Reward: -6.254, Avg. RL Loss: 0.006, Avg. Length: 793.8
Frame: 1100000, Avg. Reward: -6.350, Avg. RL Loss: 0.006, Avg. Length: 823.8
Frame: 1200000, Avg. Reward: -6.000, Avg. RL Loss: 0.006, Avg. Length: 789.6
Frame: 1300000, Avg. Reward: -6.383, Avg. RL Loss: 0.006, Avg. Length: 831.9
Frame: 1400000, Avg. Reward: -5.785, Avg. RL Loss: 0.006, Avg. Length: 752.2
Frame: 1500000, Avg. Reward: -6.308, Avg. RL Loss: 0.007, Avg. Length: 828.9
Frame: 1600000, Avg. Reward: -6.015, Avg. RL Loss: 0.006, Avg. Length: 791.9
Frame: 1700000, Avg. Reward: -6.069, Avg. RL Loss: 0.006, Avg. Length: 774.4
Frame: 1800000, Avg. Reward: -6.408, Avg. RL Loss: 0.007, Avg. Length: 851.7
Frame: 1900000, Avg. Reward: -6.118, Avg. RL Loss: 0.007, Avg. Length: 827.2
Frame: 2000000, Avg. Reward: -6.300, Avg. RL Loss: 0.007, Avg. Length: 852.8
Frame: 2100000, Avg. Reward: -6.146, Avg. RL Loss: 0.007, Avg. Length: 782.2
Frame: 2200000, Avg. Reward: -6.200, Avg. RL Loss: 0.008, Avg. Length: 834.4
Frame: 2300000, Avg. Reward: -6.183, Avg. RL Loss: 0.007, Avg. Length: 866.6
Frame: 2400000, Avg. Reward: -6.017, Avg. RL Loss: 0.007, Avg. Length: 815.3
Frame: 2500000, Avg. Reward: -6.700, Avg. RL Loss: 0.007, Avg. Length: 905.9
Frame: 2600000, Avg. Reward: -6.158, Avg. RL Loss: 0.007, Avg. Length: 856.7
Frame: 2700000, Avg. Reward: -6.870, Avg. RL Loss: 0.007, Avg. Length: 938.6
Frame: 2800000, Avg. Reward: -6.667, Avg. RL Loss: 0.007, Avg. Length: 892.7
Frame: 2900000, Avg. Reward: -6.491, Avg. RL Loss: 0.007, Avg. Length: 878.9
Frame: 3000000, Avg. Reward: -6.567, Avg. RL Loss: 0.007, Avg. Length: 857.3
Frame: 3100000, Avg. Reward: -6.350, Avg. RL Loss: 0.008, Avg. Length: 833.4
Frame: 3200000, Avg. Reward: -6.158, Avg. RL Loss: 0.007, Avg. Length: 802.9
Frame: 3300000, Avg. Reward: -6.427, Avg. RL Loss: 0.006, Avg. Length: 893.7
Frame: 3400000, Avg. Reward: -6.283, Avg. RL Loss: 0.006, Avg. Length: 847.3
Frame: 3500000, Avg. Reward: -6.350, Avg. RL Loss: 0.008, Avg. Length: 839.8
