                          Options
                          seed: 1122
                          batch_size: 1024
                          no_cuda: False
                          max_frames: 500000000
                          buffer_size: 100000
                          update_target: 1000
                          train_freq: 100
                          gamma: 0.99
                          eta: 0.1
                          rl_start: 10000
                          sl_start: 1000
                          num_envs: 3
                          hidden_dim: 256
                          dueling: False
                          multi_step: 1
                          cce: False
                          env: SlimeVolley-v0
                          ram: False
                          negative: False
                          against_baseline: False
                          load_model: None
                          save_model: model
                          evaluate: False
                          render: False
                          evaluation_interval: 2000
                          lr: 0.0001
                          max_tag_interval: 3000
                          eps_start: 1.0
                          eps_final: 0.01
                          eps_decay: 1000000
                          cuda: True
                          device: cuda:0
[Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32), Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32), Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32)] [Discrete(6), Discrete(6), Discrete(6)]
Frame: 246000, Avg. RL Loss: 0.010, Avg. Length: 660.7, P0 Avg. Reward: -0.444, P1 Avg. Reward: 0.444
Frame: 252000, Avg. RL Loss: 0.011, Avg. Length: 577.3, P0 Avg. Reward: -1.111, P1 Avg. Reward: 1.111
Frame: 258000, Avg. RL Loss: 0.011, Avg. Length: 539.2, P0 Avg. Reward: 0.167, P1 Avg. Reward: -0.167
Frame: 264000, Avg. RL Loss: 0.011, Avg. Length: 566.7, P0 Avg. Reward: -0.778, P1 Avg. Reward: 0.778
Frame: 270000, Avg. RL Loss: 0.011, Avg. Length: 489.2, P0 Avg. Reward: 0.333, P1 Avg. Reward: -0.333
Frame: 276000, Avg. RL Loss: 0.010, Avg. Length: 509.8, P0 Avg. Reward: 0.083, P1 Avg. Reward: -0.083
Frame: 282000, Avg. RL Loss: 0.011, Avg. Length: 564.3, P0 Avg. Reward: -1.333, P1 Avg. Reward: 1.333
Frame: 288000, Avg. RL Loss: 0.010, Avg. Length: 550.2, P0 Avg. Reward: -0.417, P1 Avg. Reward: 0.417
Frame: 294000, Avg. RL Loss: 0.010, Avg. Length: 544.0, P0 Avg. Reward: 1.083, P1 Avg. Reward: -1.083
Frame: 300000, Avg. RL Loss: 0.011, Avg. Length: 577.7, P0 Avg. Reward: -0.444, P1 Avg. Reward: 0.444
Frame: 306000, Avg. RL Loss: 0.010, Avg. Length: 552.0, P0 Avg. Reward: -0.500, P1 Avg. Reward: 0.500
Frame: 312000, Avg. RL Loss: 0.011, Avg. Length: 517.0, P0 Avg. Reward: -0.333, P1 Avg. Reward: 0.333
Frame: 318000, Avg. RL Loss: 0.010, Avg. Length: 536.3, P0 Avg. Reward: 0.556, P1 Avg. Reward: -0.556
Frame: 324000, Avg. RL Loss: 0.011, Avg. Length: 585.2, P0 Avg. Reward: -0.750, P1 Avg. Reward: 0.750
Frame: 330000, Avg. RL Loss: 0.011, Avg. Length: 525.0, P0 Avg. Reward: 0.556, P1 Avg. Reward: -0.556
Frame: 336000, Avg. RL Loss: 0.010, Avg. Length: 568.8, P0 Avg. Reward: -0.333, P1 Avg. Reward: 0.333
Frame: 342000, Avg. RL Loss: 0.012, Avg. Length: 499.2, P0 Avg. Reward: -0.083, P1 Avg. Reward: 0.083
Frame: 348000, Avg. RL Loss: 0.011, Avg. Length: 490.2, P0 Avg. Reward: -0.167, P1 Avg. Reward: 0.167
Frame: 354000, Avg. RL Loss: 0.011, Avg. Length: 506.8, P0 Avg. Reward: 1.000, P1 Avg. Reward: -1.000
Frame: 360000, Avg. RL Loss: 0.011, Avg. Length: 464.2, P0 Avg. Reward: -1.250, P1 Avg. Reward: 1.250
Frame: 366000, Avg. RL Loss: 0.011, Avg. Length: 568.0, P0 Avg. Reward: 0.667, P1 Avg. Reward: -0.667
Frame: 372000, Avg. RL Loss: 0.011, Avg. Length: 608.0, P0 Avg. Reward: 0.333, P1 Avg. Reward: -0.333
Frame: 378000, Avg. RL Loss: 0.012, Avg. Length: 599.3, P0 Avg. Reward: -0.222, P1 Avg. Reward: 0.222
Frame: 384000, Avg. RL Loss: 0.011, Avg. Length: 583.0, P0 Avg. Reward: 0.250, P1 Avg. Reward: -0.250
Frame: 390000, Avg. RL Loss: 0.011, Avg. Length: 677.7, P0 Avg. Reward: -0.000, P1 Avg. Reward: 0.000
Frame: 396000, Avg. RL Loss: 0.009, Avg. Length: 558.7, P0 Avg. Reward: 0.778, P1 Avg. Reward: -0.778
Frame: 402000, Avg. RL Loss: 0.009, Avg. Length: 578.8, P0 Avg. Reward: 0.333, P1 Avg. Reward: -0.333
Frame: 408000, Avg. RL Loss: 0.010, Avg. Length: 463.2, P0 Avg. Reward: -0.333, P1 Avg. Reward: 0.333
Frame: 414000, Avg. RL Loss: 0.012, Avg. Length: 528.8, P0 Avg. Reward: -0.917, P1 Avg. Reward: 0.917
Frame: 420000, Avg. RL Loss: 0.012, Avg. Length: 547.7, P0 Avg. Reward: -1.222, P1 Avg. Reward: 1.222
Frame: 426000, Avg. RL Loss: 0.010, Avg. Length: 506.4, P0 Avg. Reward: -0.067, P1 Avg. Reward: 0.067
Frame: 432000, Avg. RL Loss: 0.010, Avg. Length: 550.7, P0 Avg. Reward: -0.889, P1 Avg. Reward: 0.889
Frame: 438000, Avg. RL Loss: 0.011, Avg. Length: 561.0, P0 Avg. Reward: 1.333, P1 Avg. Reward: -1.333
Frame: 444000, Avg. RL Loss: 0.010, Avg. Length: 486.0, P0 Avg. Reward: 0.417, P1 Avg. Reward: -0.417
Frame: 450000, Avg. RL Loss: 0.011, Avg. Length: 581.3, P0 Avg. Reward: -0.889, P1 Avg. Reward: 0.889
Frame: 456000, Avg. RL Loss: 0.011, Avg. Length: 607.8, P0 Avg. Reward: -0.417, P1 Avg. Reward: 0.417
Frame: 462000, Avg. RL Loss: 0.011, Avg. Length: 564.0, P0 Avg. Reward: -0.333, P1 Avg. Reward: 0.333
Frame: 468000, Avg. RL Loss: 0.011, Avg. Length: 445.2, P0 Avg. Reward: -0.167, P1 Avg. Reward: 0.167
Frame: 474000, Avg. RL Loss: 0.010, Avg. Length: 525.0, P0 Avg. Reward: -0.417, P1 Avg. Reward: 0.417
Frame: 480000, Avg. RL Loss: 0.010, Avg. Length: 574.0, P0 Avg. Reward: 0.833, P1 Avg. Reward: -0.833
Frame: 486000, Avg. RL Loss: 0.010, Avg. Length: 523.0, P0 Avg. Reward: 0.111, P1 Avg. Reward: -0.111
Frame: 492000, Avg. RL Loss: 0.010, Avg. Length: 633.5, P0 Avg. Reward: -0.250, P1 Avg. Reward: 0.250
Frame: 498000, Avg. RL Loss: 0.010, Avg. Length: 530.3, P0 Avg. Reward: 0.111, P1 Avg. Reward: -0.111
Frame: 504000, Avg. RL Loss: 0.011, Avg. Length: 525.8, P0 Avg. Reward: 0.000, P1 Avg. Reward: 0.000
Frame: 510000, Avg. RL Loss: 0.010, Avg. Length: 542.8, P0 Avg. Reward: -1.250, P1 Avg. Reward: 1.250
Frame: 516000, Avg. RL Loss: 0.010, Avg. Length: 533.0, P0 Avg. Reward: 0.667, P1 Avg. Reward: -0.667
Frame: 522000, Avg. RL Loss: 0.010, Avg. Length: 663.0, P0 Avg. Reward: 0.444, P1 Avg. Reward: -0.444
Frame: 528000, Avg. RL Loss: 0.010, Avg. Length: 575.5, P0 Avg. Reward: 0.250, P1 Avg. Reward: -0.250
Frame: 534000, Avg. RL Loss: 0.010, Avg. Length: 637.3, P0 Avg. Reward: 0.222, P1 Avg. Reward: -0.222
Frame: 540000, Avg. RL Loss: 0.010, Avg. Length: 494.0, P0 Avg. Reward: 0.583, P1 Avg. Reward: -0.583
Frame: 546000, Avg. RL Loss: 0.011, Avg. Length: 590.0, P0 Avg. Reward: -0.833, P1 Avg. Reward: 0.833
Frame: 552000, Avg. RL Loss: 0.009, Avg. Length: 576.0, P0 Avg. Reward: -0.444, P1 Avg. Reward: 0.444
Frame: 558000, Avg. RL Loss: 0.011, Avg. Length: 569.8, P0 Avg. Reward: 0.250, P1 Avg. Reward: -0.250
Frame: 564000, Avg. RL Loss: 0.010, Avg. Length: 606.7, P0 Avg. Reward: -0.444, P1 Avg. Reward: 0.444
Frame: 570000, Avg. RL Loss: 0.010, Avg. Length: 557.0, P0 Avg. Reward: -0.500, P1 Avg. Reward: 0.500
Frame: 576000, Avg. RL Loss: 0.009, Avg. Length: 645.0, P0 Avg. Reward: -1.000, P1 Avg. Reward: 1.000
Frame: 582000, Avg. RL Loss: 0.010, Avg. Length: 514.8, P0 Avg. Reward: 0.083, P1 Avg. Reward: -0.083
Frame: 588000, Avg. RL Loss: 0.010, Avg. Length: 558.7, P0 Avg. Reward: 1.000, P1 Avg. Reward: -1.000
Frame: 594000, Avg. RL Loss: 0.010, Avg. Length: 528.2, P0 Avg. Reward: 1.333, P1 Avg. Reward: -1.333
Frame: 600000, Avg. RL Loss: 0.011, Avg. Length: 533.2, P0 Avg. Reward: -0.167, P1 Avg. Reward: 0.167
Frame: 606000, Avg. RL Loss: 0.010, Avg. Length: 565.7, P0 Avg. Reward: 0.667, P1 Avg. Reward: -0.667
Frame: 612000, Avg. RL Loss: 0.012, Avg. Length: 536.2, P0 Avg. Reward: -0.167, P1 Avg. Reward: 0.167
Frame: 618000, Avg. RL Loss: 0.010, Avg. Length: 616.3, P0 Avg. Reward: -0.222, P1 Avg. Reward: 0.222
Frame: 624000, Avg. RL Loss: 0.011, Avg. Length: 587.0, P0 Avg. Reward: -0.111, P1 Avg. Reward: 0.111
Frame: 630000, Avg. RL Loss: 0.011, Avg. Length: 573.5, P0 Avg. Reward: 0.750, P1 Avg. Reward: -0.750
Frame: 636000, Avg. RL Loss: 0.011, Avg. Length: 635.7, P0 Avg. Reward: -0.444, P1 Avg. Reward: 0.444
Frame: 642000, Avg. RL Loss: 0.010, Avg. Length: 492.8, P0 Avg. Reward: 0.000, P1 Avg. Reward: 0.000
Frame: 648000, Avg. RL Loss: 0.011, Avg. Length: 575.8, P0 Avg. Reward: 0.917, P1 Avg. Reward: -0.917
Frame: 654000, Avg. RL Loss: 0.011, Avg. Length: 519.0, P0 Avg. Reward: 1.083, P1 Avg. Reward: -1.083
Frame: 660000, Avg. RL Loss: 0.010, Avg. Length: 608.0, P0 Avg. Reward: -0.222, P1 Avg. Reward: 0.222
Frame: 666000, Avg. RL Loss: 0.011, Avg. Length: 514.5, P0 Avg. Reward: 1.250, P1 Avg. Reward: -1.250
Frame: 672000, Avg. RL Loss: 0.011, Avg. Length: 545.0, P0 Avg. Reward: 0.667, P1 Avg. Reward: -0.667
Frame: 678000, Avg. RL Loss: 0.011, Avg. Length: 539.3, P0 Avg. Reward: 1.222, P1 Avg. Reward: -1.222
Frame: 684000, Avg. RL Loss: 0.010, Avg. Length: 501.8, P0 Avg. Reward: 0.500, P1 Avg. Reward: -0.500
Frame: 690000, Avg. RL Loss: 0.011, Avg. Length: 530.2, P0 Avg. Reward: 0.083, P1 Avg. Reward: -0.083
Frame: 696000, Avg. RL Loss: 0.010, Avg. Length: 583.0, P0 Avg. Reward: 0.556, P1 Avg. Reward: -0.556
Frame: 702000, Avg. RL Loss: 0.011, Avg. Length: 579.5, P0 Avg. Reward: -0.583, P1 Avg. Reward: 0.583
Frame: 708000, Avg. RL Loss: 0.011, Avg. Length: 575.7, P0 Avg. Reward: 0.222, P1 Avg. Reward: -0.222
Frame: 714000, Avg. RL Loss: 0.011, Avg. Length: 565.2, P0 Avg. Reward: -0.417, P1 Avg. Reward: 0.417
Frame: 720000, Avg. RL Loss: 0.011, Avg. Length: 504.8, P0 Avg. Reward: 0.167, P1 Avg. Reward: -0.167
Frame: 726000, Avg. RL Loss: 0.012, Avg. Length: 508.8, P0 Avg. Reward: -0.500, P1 Avg. Reward: 0.500
Frame: 732000, Avg. RL Loss: 0.011, Avg. Length: 582.3, P0 Avg. Reward: 0.000, P1 Avg. Reward: -0.000
Frame: 738000, Avg. RL Loss: 0.011, Avg. Length: 554.0, P0 Avg. Reward: -0.667, P1 Avg. Reward: 0.667
Frame: 744000, Avg. RL Loss: 0.011, Avg. Length: 523.2, P0 Avg. Reward: -1.167, P1 Avg. Reward: 1.167
Frame: 750000, Avg. RL Loss: 0.011, Avg. Length: 529.7, P0 Avg. Reward: 0.889, P1 Avg. Reward: -0.889
Frame: 756000, Avg. RL Loss: 0.011, Avg. Length: 559.8, P0 Avg. Reward: -1.500, P1 Avg. Reward: 1.500
Frame: 762000, Avg. RL Loss: 0.012, Avg. Length: 466.5, P0 Avg. Reward: 0.583, P1 Avg. Reward: -0.583
Frame: 768000, Avg. RL Loss: 0.011, Avg. Length: 630.0, P0 Avg. Reward: 0.667, P1 Avg. Reward: -0.667
Frame: 774000, Avg. RL Loss: 0.012, Avg. Length: 608.7, P0 Avg. Reward: -1.000, P1 Avg. Reward: 1.000
Frame: 780000, Avg. RL Loss: 0.014, Avg. Length: 612.0, P0 Avg. Reward: 0.000, P1 Avg. Reward: -0.000
Frame: 786000, Avg. RL Loss: 0.013, Avg. Length: 551.5, P0 Avg. Reward: -0.083, P1 Avg. Reward: 0.083
Frame: 792000, Avg. RL Loss: 0.013, Avg. Length: 602.3, P0 Avg. Reward: 1.222, P1 Avg. Reward: -1.222
Frame: 798000, Avg. RL Loss: 0.012, Avg. Length: 522.5, P0 Avg. Reward: 0.250, P1 Avg. Reward: -0.250
Frame: 804000, Avg. RL Loss: 0.012, Avg. Length: 482.8, P0 Avg. Reward: -1.000, P1 Avg. Reward: 1.000
Frame: 810000, Avg. RL Loss: 0.013, Avg. Length: 551.0, P0 Avg. Reward: 0.417, P1 Avg. Reward: -0.417
Frame: 816000, Avg. RL Loss: 0.014, Avg. Length: 478.2, P0 Avg. Reward: 0.167, P1 Avg. Reward: -0.167
Frame: 822000, Avg. RL Loss: 0.011, Avg. Length: 512.0, P0 Avg. Reward: -0.333, P1 Avg. Reward: 0.333
Frame: 828000, Avg. RL Loss: 0.013, Avg. Length: 634.5, P0 Avg. Reward: -0.417, P1 Avg. Reward: 0.417
Frame: 834000, Avg. RL Loss: 0.013, Avg. Length: 546.3, P0 Avg. Reward: -0.667, P1 Avg. Reward: 0.667
Frame: 840000, Avg. RL Loss: 0.013, Avg. Length: 543.2, P0 Avg. Reward: -0.333, P1 Avg. Reward: 0.333
Frame: 846000, Avg. RL Loss: 0.013, Avg. Length: 600.0, P0 Avg. Reward: -0.556, P1 Avg. Reward: 0.556
Frame: 852000, Avg. RL Loss: 0.013, Avg. Length: 566.5, P0 Avg. Reward: -0.250, P1 Avg. Reward: 0.250
Frame: 858000, Avg. RL Loss: 0.012, Avg. Length: 615.7, P0 Avg. Reward: 0.889, P1 Avg. Reward: -0.889
Frame: 864000, Avg. RL Loss: 0.014, Avg. Length: 492.5, P0 Avg. Reward: -1.000, P1 Avg. Reward: 1.000
Frame: 870000, Avg. RL Loss: 0.013, Avg. Length: 548.2, P0 Avg. Reward: -0.417, P1 Avg. Reward: 0.417
Frame: 876000, Avg. RL Loss: 0.014, Avg. Length: 553.3, P0 Avg. Reward: -0.667, P1 Avg. Reward: 0.667
Frame: 882000, Avg. RL Loss: 0.012, Avg. Length: 596.0, P0 Avg. Reward: 0.333, P1 Avg. Reward: -0.333
Frame: 888000, Avg. RL Loss: 0.013, Avg. Length: 630.7, P0 Avg. Reward: -0.778, P1 Avg. Reward: 0.778
Frame: 894000, Avg. RL Loss: 0.014, Avg. Length: 492.5, P0 Avg. Reward: 0.750, P1 Avg. Reward: -0.750
Frame: 900000, Avg. RL Loss: 0.014, Avg. Length: 510.2, P0 Avg. Reward: -1.167, P1 Avg. Reward: 1.167
Frame: 906000, Avg. RL Loss: 0.014, Avg. Length: 531.2, P0 Avg. Reward: 0.083, P1 Avg. Reward: -0.083
Frame: 912000, Avg. RL Loss: 0.013, Avg. Length: 580.0, P0 Avg. Reward: 1.667, P1 Avg. Reward: -1.667
Frame: 918000, Avg. RL Loss: 0.013, Avg. Length: 588.0, P0 Avg. Reward: -0.111, P1 Avg. Reward: 0.111
Frame: 924000, Avg. RL Loss: 0.014, Avg. Length: 489.6, P0 Avg. Reward: -0.333, P1 Avg. Reward: 0.333
Frame: 930000, Avg. RL Loss: 0.013, Avg. Length: 615.3, P0 Avg. Reward: -1.000, P1 Avg. Reward: 1.000
Frame: 936000, Avg. RL Loss: 0.014, Avg. Length: 530.2, P0 Avg. Reward: 0.833, P1 Avg. Reward: -0.833
Frame: 942000, Avg. RL Loss: 0.013, Avg. Length: 619.3, P0 Avg. Reward: -1.111, P1 Avg. Reward: 1.111
Frame: 948000, Avg. RL Loss: 0.012, Avg. Length: 501.0, P0 Avg. Reward: 1.083, P1 Avg. Reward: -1.083
Frame: 954000, Avg. RL Loss: 0.013, Avg. Length: 541.8, P0 Avg. Reward: 0.583, P1 Avg. Reward: -0.583
Frame: 960000, Avg. RL Loss: 0.013, Avg. Length: 550.7, P0 Avg. Reward: -0.889, P1 Avg. Reward: 0.889
Frame: 966000, Avg. RL Loss: 0.014, Avg. Length: 527.5, P0 Avg. Reward: -0.250, P1 Avg. Reward: 0.250
Frame: 972000, Avg. RL Loss: 0.013, Avg. Length: 508.2, P0 Avg. Reward: -0.167, P1 Avg. Reward: 0.167
Frame: 978000, Avg. RL Loss: 0.014, Avg. Length: 561.8, P0 Avg. Reward: 1.500, P1 Avg. Reward: -1.500
Frame: 984000, Avg. RL Loss: 0.014, Avg. Length: 547.0, P0 Avg. Reward: 0.111, P1 Avg. Reward: -0.111
Frame: 990000, Avg. RL Loss: 0.013, Avg. Length: 541.0, P0 Avg. Reward: -0.333, P1 Avg. Reward: 0.333
Frame: 996000, Avg. RL Loss: 0.013, Avg. Length: 590.0, P0 Avg. Reward: -0.111, P1 Avg. Reward: 0.111
Frame: 1002000, Avg. RL Loss: 0.014, Avg. Length: 608.0, P0 Avg. Reward: 1.000, P1 Avg. Reward: -1.000
Frame: 1008000, Avg. RL Loss: 0.014, Avg. Length: 532.3, P0 Avg. Reward: 0.444, P1 Avg. Reward: -0.444
Frame: 1014000, Avg. RL Loss: 0.015, Avg. Length: 560.0, P0 Avg. Reward: 1.333, P1 Avg. Reward: -1.333
Frame: 1020000, Avg. RL Loss: 0.012, Avg. Length: 483.0, P0 Avg. Reward: -1.250, P1 Avg. Reward: 1.250
Frame: 1026000, Avg. RL Loss: 0.012, Avg. Length: 552.8, P0 Avg. Reward: 0.583, P1 Avg. Reward: -0.583
Frame: 1032000, Avg. RL Loss: 0.013, Avg. Length: 508.2, P0 Avg. Reward: 0.833, P1 Avg. Reward: -0.833
Frame: 1038000, Avg. RL Loss: 0.013, Avg. Length: 489.2, P0 Avg. Reward: 0.417, P1 Avg. Reward: -0.417
Frame: 1044000, Avg. RL Loss: 0.014, Avg. Length: 661.0, P0 Avg. Reward: -0.333, P1 Avg. Reward: 0.333
Frame: 1050000, Avg. RL Loss: 0.015, Avg. Length: 559.7, P0 Avg. Reward: -0.667, P1 Avg. Reward: 0.667
Frame: 1056000, Avg. RL Loss: 0.013, Avg. Length: 467.8, P0 Avg. Reward: 0.200, P1 Avg. Reward: -0.200
Frame: 1062000, Avg. RL Loss: 0.013, Avg. Length: 501.8, P0 Avg. Reward: -0.500, P1 Avg. Reward: 0.500
Frame: 1068000, Avg. RL Loss: 0.014, Avg. Length: 506.0, P0 Avg. Reward: 1.250, P1 Avg. Reward: -1.250
Frame: 1074000, Avg. RL Loss: 0.013, Avg. Length: 570.0, P0 Avg. Reward: -1.000, P1 Avg. Reward: 1.000
Frame: 1080000, Avg. RL Loss: 0.014, Avg. Length: 470.4, P0 Avg. Reward: 0.600, P1 Avg. Reward: -0.600
Frame: 1086000, Avg. RL Loss: 0.013, Avg. Length: 574.0, P0 Avg. Reward: 0.556, P1 Avg. Reward: -0.556
Frame: 1092000, Avg. RL Loss: 0.014, Avg. Length: 410.2, P0 Avg. Reward: 0.167, P1 Avg. Reward: -0.167
Frame: 1098000, Avg. RL Loss: 0.014, Avg. Length: 637.8, P0 Avg. Reward: 0.167, P1 Avg. Reward: -0.167
Frame: 1104000, Avg. RL Loss: 0.014, Avg. Length: 553.0, P0 Avg. Reward: -0.667, P1 Avg. Reward: 0.667
Frame: 1110000, Avg. RL Loss: 0.015, Avg. Length: 503.0, P0 Avg. Reward: 0.000, P1 Avg. Reward: -0.000
Frame: 1116000, Avg. RL Loss: 0.015, Avg. Length: 468.8, P0 Avg. Reward: -0.667, P1 Avg. Reward: 0.667
Frame: 1122000, Avg. RL Loss: 0.014, Avg. Length: 472.8, P0 Avg. Reward: 0.500, P1 Avg. Reward: -0.500
Frame: 1128000, Avg. RL Loss: 0.015, Avg. Length: 536.0, P0 Avg. Reward: 0.583, P1 Avg. Reward: -0.583
Frame: 1134000, Avg. RL Loss: 0.015, Avg. Length: 587.3, P0 Avg. Reward: 0.111, P1 Avg. Reward: -0.111
Frame: 1140000, Avg. RL Loss: 0.014, Avg. Length: 699.0, P0 Avg. Reward: -0.222, P1 Avg. Reward: 0.222
Frame: 1146000, Avg. RL Loss: 0.014, Avg. Length: 563.3, P0 Avg. Reward: 0.667, P1 Avg. Reward: -0.667
Frame: 1152000, Avg. RL Loss: 0.014, Avg. Length: 618.7, P0 Avg. Reward: -0.333, P1 Avg. Reward: 0.333
Frame: 1158000, Avg. RL Loss: 0.015, Avg. Length: 522.6, P0 Avg. Reward: 1.667, P1 Avg. Reward: -1.667
Frame: 1164000, Avg. RL Loss: 0.014, Avg. Length: 503.8, P0 Avg. Reward: -0.000, P1 Avg. Reward: 0.000
